SQL Table Field Usage
Date: 2025/10/28 14:15
"Project(s): POC_DEVK. Conditions: SQL Table(*; 50) SQL Table Field(*; 50) Program(*; 50) Statement Type(All; 50)"

ProjectName;SqlTableId;TableName;TablePath;DeclareStmtStartRow;DeclareStmtStartCol;DeclareStmtEndRow;DeclareStmtEndCol;SqlFieldID;FieldName;ProgramId;ProgramName;ProgramTypeID;ProgramPath;Statement;StatementStartRow;StatementStartColumn;StatementEndRow;StatementEndColumn;StmtPathStr;
POC_DEVK;14;TESTE.AORG_BENA_E_MAIL;C:\Users\Admin\Desktop\POC_DEVK\code\Copybooks\COT01531.txt;8;12;44;22;22;MKT;59;POV110;COBOL;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;SQL: INSERT;4214;18;4262;26;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;
POC_DEVK;14;TESTE.AORG_BENA_E_MAIL;C:\Users\Admin\Desktop\POC_DEVK\code\Copybooks\COT01531.txt;8;12;44;22;29;MKT_ANREDE;59;POV110;COBOL;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;SQL: INSERT;3783;16;3832;24;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;
POC_DEVK;14;TESTE.AORG_BENA_E_MAIL;C:\Users\Admin\Desktop\POC_DEVK\code\Copybooks\COT01531.txt;8;12;44;22;29;MKT_ANREDE;59;POV110;COBOL;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;SQL: INSERT;4214;18;4262;26;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;
POC_DEVK;14;TESTE.AORG_BENA_E_MAIL;C:\Users\Admin\Desktop\POC_DEVK\code\Copybooks\COT01531.txt;8;12;44;22;24;MKT_DIENST;59;POV110;COBOL;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;SQL: INSERT;3783;16;3832;24;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;
POC_DEVK;14;TESTE.AORG_BENA_E_MAIL;C:\Users\Admin\Desktop\POC_DEVK\code\Copybooks\COT01531.txt;8;12;44;22;24;MKT_DIENST;59;POV110;COBOL;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;SQL: INSERT;4214;18;4262;26;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;
POC_DEVK;14;TESTE.AORG_BENA_E_MAIL;C:\Users\Admin\Desktop\POC_DEVK\code\Copybooks\COT01531.txt;8;12;44;22;30;MKT_E_MAIL;59;POV110;COBOL;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;SQL: INSERT;3783;16;3832;24;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;
POC_DEVK;14;TESTE.AORG_BENA_E_MAIL;C:\Users\Admin\Desktop\POC_DEVK\code\Copybooks\COT01531.txt;8;12;44;22;30;MKT_E_MAIL;59;POV110;COBOL;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;SQL: INSERT;4214;18;4262;26;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;
POC_DEVK;14;TESTE.AORG_BENA_E_MAIL;C:\Users\Admin\Desktop\POC_DEVK\code\Copybooks\COT01531.txt;8;12;44;22;26;MKT_NAME;59;POV110;COBOL;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;SQL: INSERT;3783;16;3832;24;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;
POC_DEVK;14;TESTE.AORG_BENA_E_MAIL;C:\Users\Admin\Desktop\POC_DEVK\code\Copybooks\COT01531.txt;8;12;44;22;26;MKT_NAME;59;POV110;COBOL;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;SQL: INSERT;4214;18;4262;26;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;
POC_DEVK;14;TESTE.AORG_BENA_E_MAIL;C:\Users\Admin\Desktop\POC_DEVK\code\Copybooks\COT01531.txt;8;12;44;22;28;MKT_ORT;59;POV110;COBOL;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;SQL: INSERT;3783;16;3832;24;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;
